,code,name_en,name_cn,teacher,slots
52,VM010,Machineshop Training,SP2020 | 金工实习SP2020 | 李明建 ,李明建,Full
53,VM020,Machineshop Training Ⅰ,SP2020 | 金工实习（1）SP2020 | 陶波 ,陶波,18/30
54,VM211,Intro to Solid Mechanics,SP2020 | 固体力学SP2020 | Shane Johnson ,Shane Johnson,44089
55,VM240,Intro to Dynamics and Vibrations,SP2020 | 动力学与振动导论SP2020 | 沈泳星 ,沈泳星,38/40
56,VM250,Design and Manufacturing I,SP2020 | 设计与制造（J类）（1）SP2020 | Jaehyung Ju ,Jaehyung Ju,31/36
57,VM382,Mechanical Behavior of Materials,SP2020 | 材料机械性能（J类）SP2020 | 朱虹 ,朱虹,22/30
58,VR102,Chinese History in Global Perspective,SP2020 | 全球视野中的中国历史SP2020 | 徐彤 ,徐彤,Full
59,VR150,German Culture,SP2020 | 德国文化SP2020 | Quanbo Xie ,Quanbo Xie,Full
60,VR160,Introduction to World Politics,SP2020 | 国际政治导论SP2020 | Soong Chul Ro ,Soong Chul Ro,Full
61,VR207,History of Modern Japan,SP2020 | 日本近现代史SP2020 | 许珩 ,许珩,Full
62,VR209,The rise of scientific medicine: a global perspective,SP2020 | 全球视野下科学医学之兴起SP2020 | 刘士永 ,刘士永,Full
63,VR258,The History of Modern China’s Foreign Relations ,SP2020 | 中国对外关系史SP2020 | 张志云 ,张志云,Full
64,VR381,Introduction to Social Science Research Design,SP2020 | 社会科学研究设计SP2020 | Soong Chul Ro ,Soong Chul Ro,Full
65,VR253,"Culture, Technology and Silicon Valley",SP2020 | 文化与科技SP2020 | Irene Wei ,Irene Wei,Full
66,VR255,Digital Photography,SP2020 | 数字摄影技术SP2020 | Manuel Charlemagne ,Manuel Charlemagne,Full
67,VR259,Memory: A New Approach to China’s 20th Century History ,SP2020 | 记忆：理解20世纪中国史的新路径SP2020 | Chan Yang ,Chan Yang,Full
68,VW110,German I,SP2020 | 德语（1）SP2020-S2 16:00-17:40 (Week 1-5) | Quanbo Xie ,Quanbo Xie,Full
69,VW110,German I,SP2020 | 德语（1）SP2020-S1 12:10-13:50 (Week1-5) | Quanbo Xie ,Quanbo Xie,Full
70,VW111,German II,SP2020 | 德语（2）SP2020-S1 12:10-13:50 (wk6-10) | Quanbo Xie ,Quanbo Xie,Full
71,VW111,German II,SP2020 | 德语（2）SP2020-S3 8:00-9:40 (wk1-8) | Quanbo Xie ,Quanbo Xie,24/25
72,VW111,German II,SP2020 | 德语（2）SP2020-S2 16:00-17:40 (wk6-10) | Quanbo Xie ,Quanbo Xie,Full
73,VW311,German VI ,SP2020 | 德语（6）SP2020 | Quanbo Xie ,Quanbo Xie,44037
74,VZ012,Chinese Language (level 1 part 2),SP2020 | 汉语一（下）SP2020 | 王骏 ,王骏,44129
75,VZ021,Chinese Language (level 2 part 1),SP2020 | 汉语二（上）SP2020 | 王骏 ,王骏,43915
76,VZ102,Introduction to Chinese Culture,SP2020 | 中国文化概论SP2020 | Sa Weiqi ,Sa Weiqi,44185
77,VV557,Methods of Applied Math Ⅱ,SP2020 | 应用数学分析方法IISP2020 | Horst Hohberger ,Horst Hohberger,Full
78,VX251,Branding and Brand Management,SP2020 | 品牌管理SP2020 | 李杰 ,李杰,Full
79,VY200,Academic Writing Ⅱ,"SP2020 | 英语写作SP2020-10 Peter Weise-Afternoon | 	PETER JOHN WEISE ","	PETER JOHN WEISE",Full
80,VY200,Academic Writing Ⅱ,SP2020 | 英语写作SP2020-11 Andrew Yang-Morning  | Andrew Yang ,Andrew Yang,Full
81,VY200,Academic Writing Ⅱ,SP2020 | 英语写作SP2020-13 Matthew Risling-Morning  | Matthew Risling ,Matthew Risling,Full
82,VY200,Academic Writing Ⅱ,SP2020 | 英语写作SP2020-15 Joelle Tybon (12:10-13:50) | JOELLE ELIZABETH TYBON ,JOELLE ELIZABETH TYBON,43971
83,VY200,Academic Writing Ⅱ,"SP2020 | 英语写作SP2020-1 Matthew Risling (12:10-13:50)	 | Matthew Risling ",Matthew Risling,44094
84,VY200,Academic Writing Ⅱ,SP2020 | 英语写作SP2020-12 Andrew Yang-Afternoon | Andrew Yang ,Andrew Yang,Full
85,VY200,Academic Writing Ⅱ,SP2020 | 英语写作SP2020-2 Amalia Jiva-Afternoon | Amalia Jiva ,Amalia Jiva,Full
86,VY200,Academic Writing Ⅱ,SP2020 | 英语写作SP2020-6 Joelle Tybon-Afternoon | JOELLE ELIZABETH TYBON ,JOELLE ELIZABETH TYBON,Full
87,VY200,Academic Writing Ⅱ,SP2020 | 英语写作SP2020-4 Ryan Thorpe-Afternoon | Ryan Thorpe ,Ryan Thorpe,44094
88,VY200,Academic Writing Ⅱ,SP2020 | 英语写作SP2020-14 Matthew Risling-Afternoon | Matthew Risling ,Matthew Risling,Full
89,VY200,Academic Writing Ⅱ,SP2020 | 英语写作SP2020-5 Joelle Tybon-Morning  | JOELLE ELIZABETH TYBON ,JOELLE ELIZABETH TYBON,Full
90,VY200,Academic Writing Ⅱ,"SP2020 | 英语写作SP2020-9 Peter Weise-Morning  | 	PETER JOHN WEISE ","	PETER JOHN WEISE",19/20
91,VY200,Academic Writing Ⅱ,SP2020 | 英语写作SP2020-8 Michele Campbell-Afternoon | MICHELE MARIE CAMPBELL ,MICHELE MARIE CAMPBELL,Full
92,VY200,Academic Writing Ⅱ,SP2020 | 英语写作SP2020-3 Ryan Thorpe-Morning  | Ryan Thorpe ,Ryan Thorpe,Full
93,VY200,Academic Writing Ⅱ,SP2020 | 英语写作SP2020-7 Michele Campbell-Morning  | MICHELE MARIE CAMPBELL ,MICHELE MARIE CAMPBELL,Full
